# MiniBooNE backgrounds from fig. 1 of 1805.12028
#
#   Bin             Number of events per MeV (cumulative)
#         other   +dirt     +Delta  +\pi^0   +\nu_e from K   +\nu_e from \mu
     1   0.54483  0.79979  1.20510  3.34281    3.46858          3.74120
     2   0.39926  0.58236  1.15128  2.35451    2.53243          2.98750
     3   0.25561  0.39298  0.94245  1.64893    1.88442          2.48184
     4   0.20100  0.31224  0.54126  0.90769    1.21957          1.74931
     5   0.16354  0.22900  0.33372  0.65445    0.94909          1.47933
     6   0.04851  0.08126  0.12055  0.29081    0.57940          1.07952
     7   0.03194  0.05159  0.06470  0.23503    0.52143          0.93634
     8   0.00436  0.01092  0.02403  0.16824    0.41600          0.76132
     9  -0.01874 -0.01874 -0.00562  0.07964    0.27721          0.50587
    10  -0.02548 -0.02548 -0.01891  0.02703    0.19980          0.37427
    11  -0.00297 -0.00297 -0.00297 -0.00297    0.03003          0.04976

