# MiniBooNE NC pi0 rates from https://arxiv.org/abs/0911.2063, fig. 3
#
#  momentum    MC (nomial)    MC (lower)     MC (upper)  background       data
#   [GeV/c]                      events / GeV / 1e20 pot
     0.05       322.76657      299.71181     391.93083    207.49279    461.09510
     0.125     2582.13256     2144.09221    3043.22766    737.75216   4034.58213
     0.175     5487.03170     4587.89625    6386.16714   1175.79250   7631.12391
     0.225     7469.74063     6317.00288    8668.58789   1337.17579   9106.62824
     0.275     8046.10951     6778.09798    9337.17579   1452.44956   9129.68299
     0.35      6893.37175     5809.79827    7976.94524   1360.23054   7308.35734
     0.45      4426.51296     3665.70605    5187.31988   1175.79250   4449.56772
     0.55      2374.63976     1913.54466    2858.78962    853.02593   2328.53025
     0.7       1106.62824      876.08069    1360.23054    553.31412    968.29971
     0.9        438.04034      368.87608     553.31412    299.71181    438.04034
     1.2         92.21902        0.0         161.38328    115.27377    115.27377

